Designator,Footprint,Quantity,Value,LCSC Part #
C120,1206,1,10uF,
"C79, C80",0603,2,0.1uF,
FPC1,FPC-SMD_6P-P0.50_XUNPU_FPC-05F-6PH20,1,FPC-05F-6PH20,C2856796
R1,0603,1,4.7K,
U1,BAT-TH_CR2032-BS-6-1,1,CR2032-BS-6,C22363833
U26,GPSM-SMD_12P-L16.0-W16.0-P2.54-BL,1,L80RE-M37,C3029061
