Designator,Mid X,Mid Y,Rotation,Layer
C120,158.0,-99.75,90.0,top
C79,157.75,-96.5,180.0,top
C80,156.0,-99.75,90.0,top
FPC1,162.94,-99.0,90.0,top
R1,159.5,-105.0,225.0,top
U1,140.0,-138.0,0.0,top
U26,140.0,-100.0,90.0,top
